date,open,high,low,close,volume
2026-03-18,284.5,288.5,271.5,276.0,102342490
2026-03-19,268.5,272.5,260.0,260.0,84244597
2026-03-20,264.5,264.5,234.0,234.0,159686881
2026-03-23,217.5,230.0,217.5,223.0,78708847
2026-03-24,226.5,227.0,204.0,216.5,149698558
2026-03-25,226.5,229.5,218.5,226.5,97313083
2026-03-26,249.0,249.0,225.0,225.5,185144097
2026-03-27,217.0,220.0,207.0,219.5,133271176
2026-03-30,215.0,227.0,213.5,220.5,125717079
2026-03-31,207.5,210.0,198.5,198.5,147689561
2026-04-01,211.5,213.0,205.0,211.0,121908452
2026-04-02,217.0,219.0,200.0,200.5,119851725
2026-04-07,210.5,212.0,202.5,206.0,73353667
2026-04-08,217.0,223.5,214.5,223.0,95259021
2026-04-09,222.0,222.0,204.0,205.0,90700533
2026-04-10,211.0,220.0,209.0,215.0,93633890
2026-04-13,218.5,227.5,214.5,225.5,97513828
2026-04-14,238.5,240.0,220.0,220.0,161560749
2026-04-15,227.5,229.5,211.5,211.5,106926490
2026-04-16,212.5,216.5,208.5,213.5,52962831
2026-04-17,215.0,217.0,205.0,210.0,68274911
2026-04-20,206.0,209.0,202.0,207.0,68203536
2026-04-21,211.0,223.5,210.0,220.0,109825599
2026-04-22,218.5,220.5,214.0,219.0,71110869
2026-04-23,228.5,230.0,204.0,208.0,141103957
2026-04-24,209.5,210.5,199.0,206.0,99650668
2026-04-27,216.5,226.5,216.0,226.5,133442494
2026-04-28,234.5,242.5,231.5,237.5,204983861
2026-04-29,236.0,242.0,232.0,235.0,98792725
2026-04-30,239.5,240.0,214.5,215.5,125666192
2026-05-04,223.0,237.0,217.0,237.0,144354307
2026-05-05,243.0,259.0,242.5,256.5,207567196
2026-05-06,282.0,282.0,270.5,282.0,149468917
2026-05-07,293.0,296.0,278.0,287.0,197355586
2026-05-08,282.0,289.0,260.0,274.0,130863185
2026-05-11,300.5,301.0,296.0,301.0,108987498
2026-05-12,312.5,325.0,301.0,321.0,217595653
2026-05-13,311.5,322.5,303.0,321.0,106103420
2026-05-14,342.5,353.0,335.5,341.0,181771498
2026-05-15,330.5,334.5,308.5,311.5,160442326
2026-05-18,300.0,309.0,287.0,305.0,117077708
2026-05-19,291.5,295.0,274.5,274.5,118906988
2026-05-20,279.5,285.0,265.5,275.0,123868197
2026-05-21,291.5,295.0,280.0,293.0,149826596
2026-05-22,299.5,321.0,296.0,310.5,157819181
2026-05-25,295.0,303.5,288.0,296.0,155862832
2026-05-26,300.5,314.0,295.5,303.5,152949355
2026-05-27,333.0,333.5,306.0,312.0,206216639
2026-05-28,310.0,339.0,306.0,324.0,226715301
2026-05-29,347.5,351.5,338.5,347.0,140975644
2026-06-01,362.0,381.5,359.5,381.5,129059908
2026-06-02,401.0,419.5,395.0,419.5,171631936
2026-06-03,430.0,430.5,400.0,401.5,151116427
2026-06-04,395.5,409.5,392.0,395.0,115749814
2026-06-05,370.0,374.0,355.5,360.0,121599979
2026-06-08,324.0,348.0,324.0,339.5,104497957
2026-06-09,350.5,366.0,342.0,363.0,99865292
2026-06-10,351.5,366.5,330.0,333.0,99760905
2026-06-11,336.0,353.5,325.0,340.0,101519192
2026-06-12,368.5,374.0,365.0,374.0,94572799
2026-06-15,391.0,399.5,382.0,395.5,132122225
2026-06-16,402.5,432.5,396.0,425.0,170526873
2026-06-17,415.0,437.0,412.0,437.0,101278057
2026-06-18,443.5,459.5,427.5,459.5,180896115
2026-06-22,484.0,505.0,480.0,505.0,96419516
2026-06-23,488.0,500.0,454.5,454.5,164235709
2026-06-24,440.0,457.0,435.0,443.5,125390124
2026-06-25,479.0,483.0,461.5,477.0,110549365
2026-06-26,480.0,498.0,443.0,449.0,143165163
2026-06-29,456.0,465.0,440.5,453.0,77020287
2026-06-30,465.5,465.5,436.0,452.5,109257612
2026-07-01,455.0,455.0,412.0,421.0,101276439
2026-07-02,386.5,412.0,386.5,407.0,64561076
2026-07-03,399.0,419.5,393.5,409.5,61733558
2026-07-06,428.0,443.0,420.5,420.5,62093163
2026-07-07,423.0,437.0,402.0,403.0,81670310
2026-07-08,414.0,422.0,391.0,396.0,62959726
2026-07-09,414.0,435.5,412.5,435.5,85459123
2026-07-13,466.5,466.5,420.5,423.0,130554777
2026-07-14,432.0,449.0,415.5,448.0,123272779
2026-07-15,460.0,489.5,453.5,481.0,158461435
2026-07-16,463.0,463.0,435.5,439.0,85483804
2026-07-17,400.5,413.5,395.5,395.5,82626113
2026-07-20,396.0,406.0,380.5,381.0,73602466
2026-07-21,392.5,415.0,389.0,405.0,70570915
2026-07-22,435.0,445.5,431.5,445.5,63907084
2026-07-23,452.0,452.0,415.0,426.0,89386639
2026-07-24,418.0,433.5,401.0,401.0,80045856
2026-07-27,401.5,440.0,387.0,436.0,81191012
2026-07-28,392.5,399.5,392.5,392.5,60940938
2026-07-29,378.0,378.0,353.5,353.5,56513023
2026-07-30,325.5,375.0,322.0,328.0,120154208
2026-07-31,360.5,360.5,360.5,360.5,8135174
2026-08-03,374.5,396.5,374.5,396.5,58799561
2026-08-04,400.0,436.0,400.0,436.0,119676759
2026-08-05,469.0,470.5,441.5,445.0,144425745
2026-08-06,441.0,462.5,436.0,459.0,106681466
2026-08-07,456.5,463.0,445.0,457.0,70547660
2026-08-10,473.0,502.0,473.0,502.0,102644584
